location,orientation,ac_scenario,case_name,Cooling,Fans,Heating,Interior Equipment,Interior Lighting,Total End Uses,hvac
Jakarta,South,FullHouse_AC,InsWall_1,510.82,34.29,0.0,2176.06,501.28,3222.45,545.11
Jakarta,South,FullHouse_AC,InsWall_2,510.82,34.29,0.0,2176.06,501.28,3222.45,545.11
Jakarta,South,FullHouse_AC,LowEWin_1,519.92,34.94,0.0,2176.06,501.28,3232.2,554.8599999999999
Jakarta,South,FullHouse_AC,LowEWin_2,510.89,34.34,0.0,2176.06,501.28,3222.57,545.23
Jakarta,South,FullHouse_AC,Overhang_1,567.7,38.17,0.0,2176.06,501.28,3283.21,605.87
Jakarta,South,FullHouse_AC,Shade_1,598.91,40.08,0.0,2176.06,501.28,3316.33,638.99
Jakarta,South,FullHouse_AC,Shade_2,512.07,34.36,0.0,2176.06,501.28,3223.77,546.4300000000001
Jakarta,South,FullHouse_AC,SolarWin_1,512.64,34.44,0.0,2176.06,501.28,3224.42,547.0799999999999
Jakarta,South,FullHouse_AC,SolarWin_2,470.58,31.61,0.0,2176.06,501.28,3179.53,502.19
Jakarta,South,No_AC,Baseline,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CeilingFan_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CeilingFan_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CeilingFan_NoSetback_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CeilingFan_NoSetback_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CoolRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CoolRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CoolWall_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,CoolWall_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,HybridNV_OperationSchd_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,HybridNV_OperationSchd_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,HybridNV_WindowOpen_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,HybridNV_WindowOpen_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,InsRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,InsRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,InsWall_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,InsWall_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,No_AC,LowEWin_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
