location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Jakarta,South,No_AC,InsRoof_2,31,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,InsWall_1,32,28.76,Heating,0.0
Jakarta,South,No_AC,InsWall_1,32,28.76,Cooling,0.0
Jakarta,South,No_AC,InsWall_1,32,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,InsWall_1,32,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,InsWall_1,32,28.76,Fans,0.0
Jakarta,South,No_AC,InsWall_1,32,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,InsWall_2,33,28.76,Heating,0.0
Jakarta,South,No_AC,InsWall_2,33,28.76,Cooling,0.0
Jakarta,South,No_AC,InsWall_2,33,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,InsWall_2,33,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,InsWall_2,33,28.76,Fans,0.0
Jakarta,South,No_AC,InsWall_2,33,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,LowEWin_1,34,28.76,Heating,0.0
Jakarta,South,No_AC,LowEWin_1,34,28.76,Cooling,0.0
Jakarta,South,No_AC,LowEWin_1,34,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,LowEWin_1,34,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,LowEWin_1,34,28.76,Fans,0.0
Jakarta,South,No_AC,LowEWin_1,34,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,LowEWin_2,35,28.76,Heating,0.0
Jakarta,South,No_AC,LowEWin_2,35,28.76,Cooling,0.0
Jakarta,South,No_AC,LowEWin_2,35,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,LowEWin_2,35,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,LowEWin_2,35,28.76,Fans,0.0
Jakarta,South,No_AC,LowEWin_2,35,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,SolarWin_1,36,28.76,Heating,0.0
Jakarta,South,No_AC,SolarWin_1,36,28.76,Cooling,0.0
Jakarta,South,No_AC,SolarWin_1,36,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,SolarWin_1,36,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,SolarWin_1,36,28.76,Fans,0.0
Jakarta,South,No_AC,SolarWin_1,36,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,SolarWin_2,37,28.76,Heating,0.0
Jakarta,South,No_AC,SolarWin_2,37,28.76,Cooling,0.0
Jakarta,South,No_AC,SolarWin_2,37,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,SolarWin_2,37,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,SolarWin_2,37,28.76,Fans,0.0
Jakarta,South,No_AC,SolarWin_2,37,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,CeilingFan_1,38,28.76,Heating,0.0
Jakarta,South,No_AC,CeilingFan_1,38,28.76,Cooling,0.0
Jakarta,South,No_AC,CeilingFan_1,38,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,CeilingFan_1,38,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,CeilingFan_1,38,28.76,Fans,0.0
Jakarta,South,No_AC,CeilingFan_1,38,28.76,Total End Uses,2677.34
Jakarta,South,No_AC,CeilingFan_2,39,28.76,Heating,0.0
Jakarta,South,No_AC,CeilingFan_2,39,28.76,Cooling,0.0
Jakarta,South,No_AC,CeilingFan_2,39,28.76,Interior Lighting,501.28
Jakarta,South,No_AC,CeilingFan_2,39,28.76,Interior Equipment,2176.06
Jakarta,South,No_AC,CeilingFan_2,39,28.76,Fans,0.0
Jakarta,South,No_AC,CeilingFan_2,39,28.76,Total End Uses,2677.34
