location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Waingapu,South,No_AC,SolarWin_1,36,28.76,Cooling,0.0
Waingapu,South,No_AC,SolarWin_1,36,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,SolarWin_1,36,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,SolarWin_1,36,28.76,Fans,0.0
Waingapu,South,No_AC,SolarWin_1,36,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,SolarWin_2,37,28.76,Heating,0.0
Waingapu,South,No_AC,SolarWin_2,37,28.76,Cooling,0.0
Waingapu,South,No_AC,SolarWin_2,37,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,SolarWin_2,37,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,SolarWin_2,37,28.76,Fans,0.0
Waingapu,South,No_AC,SolarWin_2,37,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CeilingFan_1,38,28.76,Heating,0.0
Waingapu,South,No_AC,CeilingFan_1,38,28.76,Cooling,0.0
Waingapu,South,No_AC,CeilingFan_1,38,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CeilingFan_1,38,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CeilingFan_1,38,28.76,Fans,0.0
Waingapu,South,No_AC,CeilingFan_1,38,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CeilingFan_2,39,28.76,Heating,0.0
Waingapu,South,No_AC,CeilingFan_2,39,28.76,Cooling,0.0
Waingapu,South,No_AC,CeilingFan_2,39,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CeilingFan_2,39,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CeilingFan_2,39,28.76,Fans,0.0
Waingapu,South,No_AC,CeilingFan_2,39,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CeilingFan_NoSetback_1,40,28.76,Heating,0.0
Waingapu,South,No_AC,CeilingFan_NoSetback_1,40,28.76,Cooling,0.0
Waingapu,South,No_AC,CeilingFan_NoSetback_1,40,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CeilingFan_NoSetback_1,40,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CeilingFan_NoSetback_1,40,28.76,Fans,0.0
Waingapu,South,No_AC,CeilingFan_NoSetback_1,40,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,CeilingFan_NoSetback_2,41,28.76,Heating,0.0
Waingapu,South,No_AC,CeilingFan_NoSetback_2,41,28.76,Cooling,0.0
Waingapu,South,No_AC,CeilingFan_NoSetback_2,41,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,CeilingFan_NoSetback_2,41,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,CeilingFan_NoSetback_2,41,28.76,Fans,0.0
Waingapu,South,No_AC,CeilingFan_NoSetback_2,41,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,Overhang_1,42,28.76,Heating,0.0
Waingapu,South,No_AC,Overhang_1,42,28.76,Cooling,0.0
Waingapu,South,No_AC,Overhang_1,42,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,Overhang_1,42,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,Overhang_1,42,28.76,Fans,0.0
Waingapu,South,No_AC,Overhang_1,42,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,Shade_1,43,28.76,Heating,0.0
Waingapu,South,No_AC,Shade_1,43,28.76,Cooling,0.0
Waingapu,South,No_AC,Shade_1,43,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,Shade_1,43,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,Shade_1,43,28.76,Fans,0.0
Waingapu,South,No_AC,Shade_1,43,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,Shade_2,44,28.76,Heating,0.0
Waingapu,South,No_AC,Shade_2,44,28.76,Cooling,0.0
Waingapu,South,No_AC,Shade_2,44,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,Shade_2,44,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,Shade_2,44,28.76,Fans,0.0
Waingapu,South,No_AC,Shade_2,44,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,HybridNV_WindowOpen_1,45,28.76,Heating,0.0
Waingapu,South,No_AC,HybridNV_WindowOpen_1,45,28.76,Cooling,0.0
Waingapu,South,No_AC,HybridNV_WindowOpen_1,45,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,HybridNV_WindowOpen_1,45,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,HybridNV_WindowOpen_1,45,28.76,Fans,0.0
Waingapu,South,No_AC,HybridNV_WindowOpen_1,45,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,HybridNV_WindowOpen_2,46,28.76,Heating,0.0
Waingapu,South,No_AC,HybridNV_WindowOpen_2,46,28.76,Cooling,0.0
Waingapu,South,No_AC,HybridNV_WindowOpen_2,46,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,HybridNV_WindowOpen_2,46,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,HybridNV_WindowOpen_2,46,28.76,Fans,0.0
Waingapu,South,No_AC,HybridNV_WindowOpen_2,46,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,HybridNV_OperationSchd_1,47,28.76,Heating,0.0
Waingapu,South,No_AC,HybridNV_OperationSchd_1,47,28.76,Cooling,0.0
Waingapu,South,No_AC,HybridNV_OperationSchd_1,47,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,HybridNV_OperationSchd_1,47,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,HybridNV_OperationSchd_1,47,28.76,Fans,0.0
Waingapu,South,No_AC,HybridNV_OperationSchd_1,47,28.76,Total End Uses,2677.34
Waingapu,South,No_AC,HybridNV_OperationSchd_2,48,28.76,Heating,0.0
Waingapu,South,No_AC,HybridNV_OperationSchd_2,48,28.76,Cooling,0.0
Waingapu,South,No_AC,HybridNV_OperationSchd_2,48,28.76,Interior Lighting,501.28
Waingapu,South,No_AC,HybridNV_OperationSchd_2,48,28.76,Interior Equipment,2176.06
Waingapu,South,No_AC,HybridNV_OperationSchd_2,48,28.76,Fans,0.0
Waingapu,South,No_AC,HybridNV_OperationSchd_2,48,28.76,Total End Uses,2677.34
Waingapu,South,FullHouse_AC,Baseline,49,36.0,Heating,0.0
Waingapu,South,FullHouse_AC,Baseline,49,36.0,Cooling,488.77
Waingapu,South,FullHouse_AC,Baseline,49,36.0,Interior Lighting,501.28
Waingapu,South,FullHouse_AC,Baseline,49,36.0,Interior Equipment,2176.06
Waingapu,South,FullHouse_AC,Baseline,49,36.0,Fans,33.01
Waingapu,South,FullHouse_AC,Baseline,49,36.0,Total End Uses,3199.12
Waingapu,South,FullHouse_AC,CoolRoof_1,50,36.0,Heating,0.0
Waingapu,South,FullHouse_AC,CoolRoof_1,50,36.0,Cooling,442.5
Waingapu,South,FullHouse_AC,CoolRoof_1,50,36.0,Interior Lighting,501.28
Waingapu,South,FullHouse_AC,CoolRoof_1,50,36.0,Interior Equipment,2176.06
Waingapu,South,FullHouse_AC,CoolRoof_1,50,36.0,Fans,29.85
Waingapu,South,FullHouse_AC,CoolRoof_1,50,36.0,Total End Uses,3149.69
Waingapu,South,FullHouse_AC,CoolRoof_2,51,36.0,Heating,0.0
Waingapu,South,FullHouse_AC,CoolRoof_2,51,36.0,Cooling,383.27
Waingapu,South,FullHouse_AC,CoolRoof_2,51,36.0,Interior Lighting,501.28
Waingapu,South,FullHouse_AC,CoolRoof_2,51,36.0,Interior Equipment,2176.06
Waingapu,South,FullHouse_AC,CoolRoof_2,51,36.0,Fans,25.82
Waingapu,South,FullHouse_AC,CoolRoof_2,51,36.0,Total End Uses,3086.43
Waingapu,South,FullHouse_AC,CoolWall_1,52,36.0,Heating,0.0
Waingapu,South,FullHouse_AC,CoolWall_1,52,36.0,Cooling,421.83
Waingapu,South,FullHouse_AC,CoolWall_1,52,36.0,Interior Lighting,501.28
Waingapu,South,FullHouse_AC,CoolWall_1,52,36.0,Interior Equipment,2176.06
Waingapu,South,FullHouse_AC,CoolWall_1,52,36.0,Fans,28.47
Waingapu,South,FullHouse_AC,CoolWall_1,52,36.0,Total End Uses,3127.65
Waingapu,South,FullHouse_AC,CoolWall_2,53,36.0,Heating,0.0
Waingapu,South,FullHouse_AC,CoolWall_2,53,36.0,Cooling,344.72
Waingapu,South,FullHouse_AC,CoolWall_2,53,36.0,Interior Lighting,501.28
Waingapu,South,FullHouse_AC,CoolWall_2,53,36.0,Interior Equipment,2176.06
Waingapu,South,FullHouse_AC,CoolWall_2,53,36.0,Fans,23.2
Waingapu,South,FullHouse_AC,CoolWall_2,53,36.0,Total End Uses,3045.26
Waingapu,South,FullHouse_AC,InsRoof_1,54,36.0,Heating,0.0
Waingapu,South,FullHouse_AC,InsRoof_1,54,36.0,Cooling,376.19
Waingapu,South,FullHouse_AC,InsRoof_1,54,36.0,Interior Lighting,501.28
Waingapu,South,FullHouse_AC,InsRoof_1,54,36.0,Interior Equipment,2176.06
Waingapu,South,FullHouse_AC,InsRoof_1,54,36.0,Fans,25.35
Waingapu,South,FullHouse_AC,InsRoof_1,54,36.0,Total End Uses,3078.88
Waingapu,South,FullHouse_AC,InsRoof_2,55,36.0,Heating,0.0
Waingapu,South,FullHouse_AC,InsRoof_2,55,36.0,Cooling,345.84
Waingapu,South,FullHouse_AC,InsRoof_2,55,36.0,Interior Lighting,501.28
